Designação;Estado;Desiggrupo;Designação Linha;Freguesia;Município;Distrito
Coimbra B;Com Exploração;Estação;Linha do Norte;Eiras e São Paulo de Frades;COIMBRA;COIMBRA
Mazagão;Com Exploração;Apeadeiro;Ramal de Braga;Celeirós, Aveleda e Vimieiro;BRAGA;BRAGA
Portela;Com Exploração;Apeadeiro;Linha do Minho;Covelas;TROFA;PORTO
Mouquim;Com Exploração;Apeadeiro;Linha do Minho;Lemenhe, Mouquim e Jesufrei;VILA NOVA DE FAMALICÃO;BRAGA
Castelo Novo;Com Exploração;Estação;Linha da Beira Baixa;Castelo Novo;FUNDÃO;CASTELO BRANCO
Giesteira;Com Exploração;Apeadeiro;Linha de Guimarães;Lordelo;GUIMARÃES;BRAGA
Seixas;Com Exploração;Apeadeiro;Linha do Minho;Seixas;CAMINHA;VIANA DO CASTELO
Vermoil;Com Exploração;Estação;Linha do Norte;Santiago e S. Simão de Litém e Albergaria dos Doze;POMBAL;LEIRIA
Ruílhe;Com Exploração;Estação;Ramal de Braga;Ruilhe;BRAGA;BRAGA
Mato Miranda;Com Exploração;Estação;Linha do Norte;Azinhaga;GOLEGÃ;SANTARÉM
Tadim;Com Exploração;Estação;Ramal de Braga;Tadim;BRAGA;BRAGA
Carvalhal da Portela;Com Exploração;Apeadeiro;Linha do Vouga;Valongo do Vouga;ÁGUEDA;AVEIRO
Fontela;Com Exploração;Estação;Linha do Oeste;Vila Verde;FIGUEIRA DA FOZ;COIMBRA
Ferradosa;Com Exploração;Apeadeiro;Linha do Douro;Vale de Figueira;SÃO JOÃO DA PESQUEIRA;VISEU
Tojeirinha;Com Exploração;Apeadeiro;Linha da Beira Baixa;Vila Velha de Ródão;VILA VELHA DE RÓDÃO;CASTELO BRANCO
Irivo;Com Exploração;Estação;Linha do Douro;Irivo;PENAFIEL;PORTO
Martingança;Com Exploração;Estação;Linha do Oeste;Pataias e Martingança;ALCOBAÇA;LEIRIA
Coimbra;Com Exploração;Estação;Ramal da Lousã;Sé Nova, Santa Cruz, Almedina e São Bartolomeu;COIMBRA;COIMBRA
São Romão - A;Com Exploração;Apeadeiro;Linha do Minho;Coronado (São Romão e São Mamede);TROFA;PORTO
Pedra Furada;Com Exploração;Apeadeiro;Linha do Oeste;Almargem do Bispo, Pêro Pinheiro e Montelavar;SINTRA;LISBOA
Gata;Com Exploração;Apeadeiro;Linha da Beira Alta;Casal de Cinza;GUARDA;GUARDA
Curvaceiras;Com Exploração;Apeadeiro;Ramal de Tomar;Madalena e Beselga;TOMAR;SANTARÉM
Rede;Com Exploração;Estação;Linha do Douro;Vila Marim;MESÃO FRIO;VILA REAL
Madalena;Com Exploração;Apeadeiro;Linha do Norte;Madalena;VILA NOVA DE GAIA;PORTO
Cortegaça;Com Exploração;Apeadeiro;Linha do Norte;Cortegaça;OVAR;AVEIRO
Pala;Com Exploração;Apeadeiro;Linha do Douro;Ancede e Ribadouro;BAIÃO;PORTO
Gondarém;Com Exploração;Apeadeiro;Linha do Minho;Gondarém;VILA NOVA DE CERVEIRA;VIANA DO CASTELO
Santa Iria;Com Exploração;Apeadeiro;Linha do Norte;Santa Iria de Azoia, São João da Talha e Bobadela;LOURES;LISBOA
Torres Vedras;Com Exploração;Estação;Linha do Oeste;Santa Maria, São Pedro e Matacães;TORRES VEDRAS;LISBOA
Caldas de Moledo;Com Exploração;Apeadeiro;Linha do Douro;Fontelas;PESO DA RÉGUA;VILA REAL
Mealhada;Com Exploração;Apeadeiro;Linha do Norte;Mealhada, Ventosa do Bairro e Antes;MEALHADA;AVEIRO
Travanca-Macinhata;Com Exploração;Apeadeiro;Linha do Vouga;Pinheiro da Bemposta, Travanca e Palmaz;OLIVEIRA DE AZEMÉIS;AVEIRO
Pombal Resguardo;Com Exploração;Estação;Linha do Norte;Pombal;POMBAL;LEIRIA
Soure;Com Exploração;Estação;Linha do Norte;Soure;SOURE;COIMBRA
Belmonte-Manteigas;Com Exploração;Estação;Linha da Beira Baixa;Belmonte e Colmeal da Torre;BELMONTE;CASTELO BRANCO
Oliveirinha Cabanas;Com Exploração;Estação;Linha da Beira Alta;Oliveira do Conde;CARREGAL DO SAL;VISEU
Bagaúste;Com Exploração;Apeadeiro;Linha do Douro;Poiares e Canelas;PESO DA RÉGUA;VILA REAL
Tramagal;Com Exploração;Estação;Linha da Beira Baixa;Tramagal;ABRANTES;SANTARÉM
Fanhais;Com Exploração;Apeadeiro;Linha do Oeste;Nazaré;NAZARÉ;LEIRIA
Vila da Feira;Com Exploração;Estação;Linha do Vouga;Santa Maria da Feira, Travanca, Sanfins e Espargo;SANTA MARIA DA FEIRA;AVEIRO
Bencanta;Com Exploração;Apeadeiro;Linha do Norte;São Martinho do Bispo e Ribeira de Frades;COIMBRA;COIMBRA
Paramos ;Com Exploração;Apeadeiro;Linha do Norte;Paramos;ESPINHO;AVEIRO
Carregal do Sal;Com Exploração;Estação;Linha da Beira Alta;Carregal do Sal;CARREGAL DO SAL;VISEU
Senhora das Dores;Com Exploração;Estação;Linha do Minho;Bougado (São Martinho e Santiago);TROFA;PORTO
Águas Santas;Com Exploração;Apeadeiro;Linha do Minho;Águas Santas;MAIA;PORTO
São Gemil;Com Exploração;Estação;Linha de Leixões;Águas Santas;MAIA;PORTO
Monte Redondo;Com Exploração;Apeadeiro;Linha do Oeste;Monte Redondo e Carreira;LEIRIA;LEIRIA
Barroselas;Com Exploração;Estação;Linha do Minho;Barroselas e Carvoeiro;VIANA DO CASTELO;VIANA DO CASTELO
Belver;Com Exploração;Estação;Linha da Beira Baixa;Belver;GAVIÃO;PORTALEGRE
Faria;Com Exploração;Apeadeiro;Linha do Vouga;Vila de Cucujães;OLIVEIRA DE AZEMÉIS;AVEIRO
Escapães;Com Exploração;Apeadeiro;Linha do Vouga;Escapães;SANTA MARIA DA FEIRA;AVEIRO
Aguim;Com Exploração;Apeadeiro;Linha do Norte;Tamengos, Aguim e Óis do Bairro;ANADIA;AVEIRO
Mosteirô;Com Exploração;Estação;Linha do Douro;Ancede e Ribadouro;BAIÃO;PORTO
Lardosa;Com Exploração;Estação;Linha da Beira Baixa;Lardosa;CASTELO BRANCO;CASTELO BRANCO
Paúl;Com Exploração;Apeadeiro;Linha do Oeste;Roliça;BOMBARRAL;LEIRIA
Dois Portos;Com Exploração;Estação;Linha do Oeste;Dois Portos e Runa;TORRES VEDRAS;LISBOA
Recarei - Sobreira;Com Exploração;Estação;Linha do Douro;Sobreira;PAREDES;PORTO
