Designação;Estado;Desiggrupo;Designação Linha;Freguesia;Município;Distrito
Porta Nova;Com Exploração;Apeadeiro;Linha do Algarve;Tavira (Santa Maria e Santiago);TAVIRA;FARO
Casa Branca;Com Exploração;Estação;Linha do Alentejo;Santiago do Escoural;MONTEMOR-O-NOVO;ÉVORA
Tancos;Com Exploração;Apeadeiro;Linha da Beira Baixa;Praia do Ribatejo;VILA NOVA DA BARQUINHA;SANTARÉM
Queluz-Belas;Com Exploração;Apeadeiro;Linha de Sintra;Queluz e Belas;SINTRA;LISBOA
Reveles;Com Exploração;Apeadeiro;Ramal de Alfarelos;Abrunheira, Verride e Vila Nova da Barca;MONTEMOR-O-VELHO;COIMBRA
Vidigal;Com Exploração;Estação;Linha de Vendas Novas;Vendas Novas;VENDAS NOVAS;ÉVORA
Canha;Com Exploração;Estação;Linha de Vendas Novas;Canha;MONTIJO;SETÚBAL
Amoreiras-Odemira;Com Exploração;Estação;Linha do Sul;São Martinho das Amoreiras;ODEMIRA;BEJA
Azinheira dos Barros ;Com Exploração;Estação;Linha do Sul;Azinheira dos Barros e São Mamede do Sádão;GRÂNDOLA;SETÚBAL
Petrogal - Asfaltos;Com Exploração;Estação;Ramal Petrogal - Asfaltos;Sines;SINES;SETÚBAL
Ribeira de Seiça;Com Exploração;Apeadeiro;Linha do Oeste;Paião;FIGUEIRA DA FOZ;COIMBRA
Fornos de Algodres;Com Exploração;Estação;Linha da Beira Alta;Fornos de Algodres;FORNOS DE ALGODRES;GUARDA
Barragem de Belver;Com Exploração;Apeadeiro;Linha da Beira Baixa;Ortiga;MAÇÃO;SANTARÉM
Benespera;Com Exploração;Apeadeiro;Linha da Beira Baixa;Benespera;GUARDA;GUARDA
Monte Real;Com Exploração;Estação;Linha do Oeste;Souto da Carpalhosa e Ortigosa;LEIRIA;LEIRIA
Moimenta Alcafache;Com Exploração;Apeadeiro;Linha da Beira Alta;Espinho;MANGUALDE;VISEU
Esmoriz;Com Exploração;Estação;Linha do Norte;Esmoriz;OVAR;AVEIRO
Godim;Com Exploração;Estação;Linha do Douro;Peso da Régua e Godim;PESO DA RÉGUA;VILA REAL
Miuzela;Com Exploração;Apeadeiro;Linha da Beira Alta;Miuzela e Porto de Ovelha;ALMEIDA;GUARDA
Vale de Prazeres;Com Exploração;Estação;Linha da Beira Baixa;Vale de Prazeres e Mata da Rainha;FUNDÃO;CASTELO BRANCO
Óbidos;Com Exploração;Apeadeiro;Linha do Oeste;Santa Maria, São Pedro e Sobral da Lagoa;ÓBIDOS;LEIRIA
Amieira;Com Exploração;Estação;Linha do Oeste;Samuel;SOURE;COIMBRA
Vila Franca das Naves;Com Exploração;Estação;Linha da Beira Alta;Vila Franca das Naves e Feital;TRANCOSO;GUARDA
Camarão;Com Exploração;Apeadeiro;Linha do Oeste;Bombarral e Vale Covo;BOMBARRAL;LEIRIA
Raquete;Com Exploração;Estação;Linha de Sines;Sines;SINES;SETÚBAL
Tomar;Com Exploração;Estação;Ramal de Tomar;São João Baptista e Santa Maria dos Olivais;TOMAR;SANTARÉM
Desvio Km 19,5;Com Exploração;Estação;Linha de Vendas Novas;Glória do Ribatejo e Granho;SALVATERRA DE MAGOS;SANTARÉM
Grândola;Com Exploração;Estação;Linha do Sul;Grândola e Santa Margarida da Serra;GRÂNDOLA;SETÚBAL
Alvega-Ortiga;Com Exploração;Apeadeiro;Linha da Beira Baixa;Ortiga;MAÇÃO;SANTARÉM
Sapataria;Com Exploração;Apeadeiro;Linha do Oeste;Sapataria;SOBRAL DE MONTE AGRAÇO;LISBOA
Leiria;Com Exploração;Estação;Linha do Oeste;Marrazes e Barosa;LEIRIA;LEIRIA
Arronches;Com Exploração;Apeadeiro;Linha do Leste;Assunção;ARRONCHES;PORTALEGRE
Caria;Com Exploração;Apeadeiro;Linha da Beira Baixa;Caria;BELMONTE;CASTELO BRANCO
Canas Felgueira;Com Exploração;Estação;Linha da Beira Alta;Canas de Senhorim;NELAS;VISEU
Macinhata;Com Exploração;Estação;Linha do Vouga;Macinhata do Vouga;ÁGUEDA;AVEIRO
Carvalheira - Maceda;Com Exploração;Apeadeiro;Linha do Norte;Maceda;OVAR;AVEIRO
Francelos Sul;Com Exploração;Estação;Linha do Norte;Gulpilhares e Valadares;VILA NOVA DE GAIA;PORTO
Francelos Norte;Com Exploração;Estação;Linha do Norte;Gulpilhares e Valadares;VILA NOVA DE GAIA;PORTO
Fuentes de Onõro;Com Exploração;Estação;Rede Espanhola;;;
Badajoz;Com Exploração;Estação;Rede Espanhola;;;
